Question	Answer	Tags
"Question:
What causes S1?"	"Answer:
Closure of AV valves (mitral, tricuspid)"	ccrn::cardio heart_sounds
"Question:
Where is S1 loudest?"	"Answer:
Apex (midclavicular, 5th ICS)"	ccrn::cardio heart_sounds
"Question:
What does S1 mark?"	"Answer:
End of diastole, beginning of systole"	ccrn::cardio heart_sounds
"Question:
What causes S2?"	"Answer:
Closure of semilunar valves (aortic, pulmonic)"	ccrn::cardio heart_sounds
"Question:
Where is S2 loudest?"	"Answer:
Base (right sternal border, 2nd ICS)"	ccrn::cardio heart_sounds
"Question:
What does S2 mark?"	"Answer:
End of systole, beginning of diastole"	ccrn::cardio heart_sounds
"Question:
What causes S2 splitting on inspiration?"	"Answer:
Normal physiologic finding; wide fixed splitting indicates RBBB"	ccrn::cardio heart_sounds
"Question:
When is S2 louder?"	"Answer:
Pulmonary embolism"	ccrn::cardio heart_sounds
"Question:
What is the aortic valve auscultatory point?"	"Answer:
2nd ICS, right sternal border (base)"	ccrn::cardio heart_sounds valves
"Question:
What is the mitral valve auscultatory point?"	"Answer:
5th ICS, midclavicular (apex)"	ccrn::cardio heart_sounds valves acs
"Question:
What causes S3?"	"Answer:
Rapid rush of blood into dilated ventricle"	ccrn::cardio heart_sounds
"Question:
When does S3 occur?"	"Answer:
Early diastole, right after S2"	ccrn::cardio heart_sounds
"Question:
Where is S3 best heard?"	"Answer:
Apex with bell of stethoscope"	ccrn::cardio heart_sounds
"Question:
What is S3 associated with?"	"Answer:
Heart failure"	ccrn::cardio heart_sounds
"Question:
What is the S3 mnemonic?"	"Answer:
Ventricular gallop, 'Kentucky'"	ccrn::cardio heart_sounds
"Question:
What else causes S3?"	"Answer:
Pulmonary HTN, cor pulmonale, mitral/aortic/tricuspid insufficiency"	ccrn::cardio heart_sounds
"Question:
What causes S4?"	"Answer:
Atrial contraction into noncompliant ventricle"	ccrn::cardio heart_sounds
"Question:
When does S4 occur?"	"Answer:
Right before S1"	ccrn::cardio heart_sounds
"Question:
Where is S4 best heard?"	"Answer:
Apex with bell of stethoscope"	ccrn::cardio heart_sounds
"Question:
What is S4 associated with?"	"Answer:
MI, ischemia, HTN, ventricular hypertrophy, aortic stenosis"	ccrn::cardio heart_sounds
"Question:
What is the S4 mnemonic?"	"Answer:
Atrial gallop, 'Tennessee'"	ccrn::cardio heart_sounds
"Question:
Why is S4 not heard in atrial fibrillation?"	"Answer:
No atrial contraction"	ccrn::cardio heart_sounds
"Question:
What causes a pericardial friction rub?"	"Answer:
Pericarditis"	ccrn::cardio
"Question:
What is unique about pericardial friction rub pain?"	"Answer:
Worse with deep inspiration; may be positional"	ccrn::cardio
"Question:
What is normal pulse pressure?"	"Answer:
40-60 mmHg"	ccrn::cardio hemodynamics
"Question:
What does systolic BP indirectly measure?"	"Answer:
Cardiac output and stroke volume"	ccrn::cardio hemodynamics hf
"Question:
What does narrowing pulse pressure indicate?"	"Answer:
Severe hypovolemia or severe drop in CO"	ccrn::cardio hemodynamics
"Question:
What is an example of narrowed pulse pressure?"	"Answer:
100/78"	ccrn::cardio hemodynamics
"Question:
What does diastolic BP indirectly measure?"	"Answer:
Systemic vascular resistance (SVR)"	ccrn::cardio hemodynamics hf
"Question:
What does widened pulse pressure indicate?"	"Answer:
Vasodilation, drop in SVR (seen in sepsis/septic shock)"	ccrn::cardio hemodynamics
"Question:
What is an example of widened pulse pressure?"	"Answer:
100/38"	ccrn::cardio hemodynamics
"Question:
Which phase is longer, systole or diastole?"	"Answer:
Diastole (one-third longer)"	ccrn::cardio
"Question:
When are coronary arteries perfused?"	"Answer:
During diastole"	ccrn::cardio acs
"Question:
Why do CO and BP drop with extreme tachyarrhythmias?"	"Answer:
No time for filling"	ccrn::cardio hemodynamics acs dysrhythmias
"Question:
What causes normal heart sounds S1 and S2?"	"Answer:
Valve closure"	ccrn::cardio heart_sounds
"Question:
What determines valve opening and closing?"	"Answer:
Pressure gradient across valve"	ccrn::cardio valves acs
"Question:
When does a valve open?"	"Answer:
When pressure above > pressure below"	ccrn::cardio valves
"Question:
When does a valve close?"	"Answer:
When pressure below > pressure above"	ccrn::cardio valves
"Question:
What is systole?"	"Answer:
Ejection, high pressure"	ccrn::cardio
"Question:
What is diastole?"	"Answer:
Filling, low pressure"	ccrn::cardio
"Question:
What are causes of valvular heart disease?"	"Answer:
CAD, ischemia, MI, dilated cardiomyopathy, degeneration, bicuspid valve, rheumatic fever, infection, connective tissue disease"	ccrn::cardio
"Question:
When do murmurs of insufficiency occur?"	"Answer:
When valve is closed"	ccrn::cardio heart_sounds valves
"Question:
When do murmurs of stenosis occur?"	"Answer:
When valve is open"	ccrn::cardio heart_sounds valves
"Question:
Which valves are open during systole?"	"Answer:
Semilunar valves (aortic, pulmonic)"	ccrn::cardio valves
"Question:
Which valves are closed during systole?"	"Answer:
AV valves (mitral, tricuspid)"	ccrn::cardio valves
"Question:
What are systolic murmurs?"	"Answer:
Aortic stenosis, pulmonic stenosis, mitral insufficiency, tricuspid insufficiency"	ccrn::cardio heart_sounds hemodynamics hf
"Question:
Is aortic stenosis acute or chronic?"	"Answer:
Chronic (develops over time)"	ccrn::cardio valves
"Question:
What does mitral insufficiency cause on PA catheter?"	"Answer:
Large V-waves on PAOP tracing"	ccrn::cardio valves acs
"Question:
Where is VSD murmur heard?"	"Answer:
Left sternal border, 5th ICS"	ccrn::cardio heart_sounds
"Question:
Which valves are closed during diastole?"	"Answer:
Semilunar valves (aortic, pulmonic)"	ccrn::cardio valves
"Question:
Which valves are open during diastole?"	"Answer:
AV valves (mitral, tricuspid)"	ccrn::cardio valves
"Question:
What are diastolic murmurs?"	"Answer:
Aortic insufficiency, pulmonic insufficiency, mitral stenosis, tricuspid stenosis"	ccrn::cardio heart_sounds hemodynamics hf
"Question:
What is mitral stenosis associated with?"	"Answer:
Atrial fibrillation (due to atrial enlargement)"	ccrn::cardio valves acs
"Question:
When does mitral insufficiency murmur occur?"	"Answer:
Systole (mitral valve closed)"	ccrn::cardio heart_sounds valves acs
"Question:
When does mitral stenosis murmur occur?"	"Answer:
Diastole (mitral valve open)"	ccrn::cardio heart_sounds valves acs
"Question:
When does aortic insufficiency murmur occur?"	"Answer:
Diastole (aortic valve closed)"	ccrn::cardio heart_sounds valves
"Question:
When does aortic stenosis murmur occur?"	"Answer:
Systole (aortic valve open)"	ccrn::cardio heart_sounds valves
"Question:
When does VSD murmur occur?"	"Answer:
Systole (ejection)"	ccrn::cardio heart_sounds
"Question:
What causes acute mitral valve regurgitation with MI?"	"Answer:
Papillary muscle dysfunction or rupture"	ccrn::cardio valves acs
"Question:
Where is papillary muscle dysfunction murmur loudest?"	"Answer:
Apex"	ccrn::cardio heart_sounds
"Question:
What grade is papillary muscle dysfunction?"	"Answer:
Grade I or II"	ccrn::cardio
"Question:
What grade is papillary muscle rupture?"	"Answer:
Grade V or VI"	ccrn::cardio
"Question:
Is papillary muscle rupture a surgical emergency?"	"Answer:
Yes"	ccrn::cardio hypertension
"Question:
What are CAD risk factors?"	"Answer:
HTN, diabetes, smoking, dyslipidemia, family history, age, obesity, sedentary lifestyle"	ccrn::cardio
"Question:
What is asymptomatic CAD?"	"Answer:
Silent coronary disease"	ccrn::cardio
"Question:
What is stable angina?"	"Answer:
Chest pain with activity, predictable, fixed calcified lesions"	ccrn::cardio acs
"Question:
What causes acute coronary syndrome?"	"Answer:
Platelet-mediated thrombosis"	ccrn::cardio acs
"Question:
What are ACS types?"	"Answer:
Unstable angina, NSTEMI, STEMI"	ccrn::cardio acs
"Question:
What is unstable angina?"	"Answer:
Chest pain at rest, unpredictable, may respond to NTG, troponin negative, ST depression or T-wave inversion"	ccrn::cardio acs
"Question:
What is NSTEMI?"	"Answer:
Troponin positive, ST depression, T-wave inversion, unrelenting chest pain"	ccrn::cardio acs
"Question:
What is STEMI?"	"Answer:
Troponin positive, ST elevation in 2+ contiguous leads, unrelenting chest pain"	ccrn::cardio acs
"Question:
What is variant (Prinzmetal's) angina?"	"Answer:
Unstable angina with transient ST elevation due to coronary artery spasm"	ccrn::cardio acs
"Question:
What causes Prinzmetal's angina?"	"Answer:
Coronary spasm with/without atherosclerotic lesions"	ccrn::cardio acs
"Question:
When does Prinzmetal's angina occur?"	"Answer:
At rest, may be cyclic (same time each day)"	ccrn::cardio acs
"Question:
What precipitates Prinzmetal's angina?"	"Answer:
Nicotine, alcohol, cocaine"	ccrn::cardio acs
"Question:
Is troponin positive in Prinzmetal's angina?"	"Answer:
No"	ccrn::cardio acs
"Question:
What relieves Prinzmetal's angina?"	"Answer:
Nitroglycerin; STs return to normal"	ccrn::cardio acs meds
"Question:
What is the stat ECG timeline for chest pain?"	"Answer:
Done and read within 10 minutes"	ccrn::cardio ecg
"Question:
What does stat ECG allow?"	"Answer:
Categorization to STEMI vs NSTEMI/unstable angina; risk stratification"	ccrn::cardio ecg
"Question:
When should aspirin be given in ACS?"	"Answer:
ASAP; chewed; improves morbidity/mortality"	ccrn::cardio acs meds
"Question:
What anticoagulant is given in ACS?"	"Answer:
Heparin or enoxaparin"	ccrn::cardio acs meds
"Question:
What antiplatelet agents are used in ACS?"	"Answer:
Clopidogrel (Plavix), abciximab (Reopro), eptifibatide (Integrilin), tirofiban (Aggrastat)"	ccrn::cardio acs meds
"Question:
When are beta blockers contraindicated in ACS?"	"Answer:
Cocaine-induced ACS, hypotension, bradycardia, phosphodiesterase inhibitor use (Viagra)"	ccrn::cardio acs dysrhythmias
"Question:
What type of beta blocker for ACS?"	"Answer:
Cardioselective (metoprolol); NOT non-cardioselective (propranolol)"	ccrn::cardio acs dysrhythmias meds
"Question:
How is ACS pain treated?"	"Answer:
Nitroglycerin, morphine"	ccrn::cardio acs meds
"Question:
What artery and wall with changes in II, III, aVF?"	"Answer:
RCA, inferior LV"	ccrn::cardio ecg dysrhythmias
"Question:
What artery and wall with changes in V1-V4?"	"Answer:
LAD, anterior LV"	ccrn::cardio ecg
"Question:
What artery and wall with changes in V5, V6, I, aVL?"	"Answer:
Circumflex, lateral LV"	ccrn::cardio
"Question:
What artery and wall with changes in V5, V6?"	"Answer:
Low lateral LV"	ccrn::cardio
"Question:
What artery and wall with changes in I, aVL?"	"Answer:
High lateral LV"	ccrn::cardio
"Question:
What artery and wall with changes in V1, V2?"	"Answer:
RCA, posterior LV"	ccrn::cardio ecg
"Question:
What artery and wall with changes in V3R, V4R?"	"Answer:
RCA, right ventricular infarct"	ccrn::cardio ecg
"Question:
What artery occludes in inferior MI?"	"Answer:
RCA"	ccrn::cardio acs mi_types
"Question:
What leads show ST elevation in inferior MI?"	"Answer:
II, III, aVF"	ccrn::cardio acs ecg mi_types
"Question:
What are reciprocal changes in inferior MI?"	"Answer:
Lateral wall (I, aVL)"	ccrn::cardio acs mi_types
"Question:
What conduction disturbances occur with inferior MI?"	"Answer:
2nd-degree Type I AV block, 3rd-degree AV block, SSS, sinus bradycardia"	ccrn::cardio acs mi_types
"Question:
What systolic murmur can develop with inferior MI?"	"Answer:
MVR from papillary muscle rupture"	ccrn::cardio heart_sounds hemodynamics acs mi_types hf
"Question:
Why is posterior papillary muscle at risk?"	"Answer:
Only one blood supply source (RCA)"	ccrn::cardio mi_types
"Question:
What does tachycardia with inferior MI indicate?"	"Answer:
Higher mortality"	ccrn::cardio acs mi_types
"Question:
What is inferior MI also associated with?"	"Answer:
RV infarct, posterior MI"	ccrn::cardio acs mi_types
"Question:
How should beta blockers and NTG be used in inferior MI?"	"Answer:
With CAUTION"	ccrn::cardio acs mi_types dysrhythmias
"Question:
What percent of inferior MI have RV infarct?"	"Answer:
~30%"	ccrn::cardio acs mi_types
"Question:
What artery supplies the right ventricle?"	"Answer:
RCA"	ccrn::cardio
"Question:
What determines RV infarct symptoms?"	"Answer:
Size of infarct"	ccrn::cardio acs mi_types
"Question:
What ECG shows RV infarct?"	"Answer:
Right-sided ECG (ST elevation in V4R)"	ccrn::cardio acs ecg mi_types
"Question:
What are signs/symptoms of RV infarct?"	"Answer:
JVD at 45°, high CVP, hypotension, clear lungs, bradyarrhythmias"	ccrn::cardio acs mi_types
"Question:
What is RV infarct treatment?"	"Answer:
Fluids, positive inotropes"	ccrn::cardio acs mi_types
"Question:
What to avoid in RV infarct?"	"Answer:
Preload reducers (nitrates, diuretics)"	ccrn::cardio acs mi_types
"Question:
Why caution with beta blockers in RV infarct?"	"Answer:
Often cannot give initially due to hypotension"	ccrn::cardio acs mi_types dysrhythmias
"Question:
What artery occludes in anterior MI?"	"Answer:
LAD"	ccrn::cardio acs mi_types
"Question:
What leads show ST elevation in anterior MI?"	"Answer:
V1-V4 (precordial)"	ccrn::cardio acs ecg mi_types
"Question:
What are reciprocal changes in anterior MI?"	"Answer:
Inferior wall (II, III, aVF)"	ccrn::cardio acs mi_types
"Question:
What AV block may develop with anterior MI?"	"Answer:
2nd-degree Type II or RBBB"	ccrn::cardio acs mi_types dysrhythmias
"Question:
Why Type II block with anterior MI?"	"Answer:
LAD supplies common bundle of His"	ccrn::cardio acs ecg mi_types dysrhythmias
"Question:
What does Type II block indicate in anterior MI?"	"Answer:
Ominous sign"	ccrn::cardio acs ecg mi_types dysrhythmias
"Question:
What systolic murmur can develop with anterior MI?"	"Answer:
Ventricular septal defect"	ccrn::cardio heart_sounds hemodynamics acs mi_types hf
"Question:
Does anterior MI have higher mortality than inferior?"	"Answer:
Yes; heart failure more common"	ccrn::cardio acs mi_types
"Question:
What leads show ST elevation in lateral MI?"	"Answer:
V5, V6 (low lateral); I, aVL (high lateral)"	ccrn::cardio acs ecg mi_types
"Question:
What artery is involved in lateral MI?"	"Answer:
Left circumflex"	ccrn::cardio acs mi_types
"Question:
What is reperfusion for STEMI?"	"Answer:
PCI or fibrinolytic therapy"	ccrn::cardio acs interventions
"Question:
What is door-to-balloon time for PCI?"	"Answer:
90 minutes"	ccrn::cardio interventions
"Question:
What is door-to-drug time for fibrinolytics?"	"Answer:
30 minutes"	ccrn::cardio interventions
"Question:
What are eligibility criteria for fibrinolytics?"	"Answer:
ST elevation in 2+ contiguous leads or new LBBB, onset < 12 hrs, pain ≥ 30 min, unresponsive to SL NTG"	ccrn::cardio interventions
"Question:
What are absolute contraindications to fibrinolytics?"	"Answer:
Prior intracranial hemorrhage, structural cerebral lesion, intracranial malignancy, ischemic stroke < 3 months, suspected aortic dissection, active bleeding, significant head/facial trauma < 3 months"	ccrn::cardio interventions
"Question:
What indicates successful reperfusion?"	"Answer:
Chest pain relief, ST resolution, marked troponin/CK-MB elevation, reperfusion arrhythmias"	ccrn::cardio interventions
"Question:
Why does troponin elevate with reperfusion?"	"Answer:
Myocardial 'stunning' when vessel opens"	ccrn::cardio interventions
"Question:
What are reperfusion arrhythmias?"	"Answer:
VT, VF, accelerated idioventricular rhythm (AIVR)"	ccrn::cardio acs interventions dysrhythmias
"Question:
Why do reperfusion arrhythmias occur?"	"Answer:
Myocardial 'stunning' when vessel opens"	ccrn::cardio acs interventions dysrhythmias
"Question:
What to monitor post-PCI for reocclusion?"	"Answer:
Chest pain, ST elevation"	ccrn::cardio interventions
"Question:
What is vasovagal reaction during sheath removal?"	"Answer:
Hypotension < 90 systolic with/without bradycardia, no compensatory tachycardia, pallor, nausea, yawning, diaphoresis"	ccrn::cardio
"Question:
How to manage vasovagal reaction?"	"Answer:
Fluids, atropine"	ccrn::cardio meds
"Question:
What bleeding site to monitor post-PCI?"	"Answer:
Sheath site, retroperitoneal"	ccrn::cardio interventions
"Question:
What are signs of retroperitoneal bleed?"	"Answer:
Sudden hypotension, severe low back pain"	ccrn::cardio
"Question:
How long to hold manual pressure post-sheath removal?"	"Answer:
Minimum 20 min (30 min if on GP IIb/IIIa inhibitors)"	ccrn::cardio
"Question:
Is emergent reperfusion needed for NSTEMI?"	"Answer:
No"	ccrn::cardio acs interventions
"Question:
What meds for NSTEMI?"	"Answer:
Same as STEMI"	ccrn::cardio acs
"Question:
When is cardiac cath done for NSTEMI?"	"Answer:
Within 24 hours if high risk or continued chest pain/instability"	ccrn::cardio acs
"Question:
What to start if high-risk NSTEMI?"	"Answer:
GP IIb/IIIa inhibitors (Integrilin, Reopro)"	ccrn::cardio acs
"Question:
What is the most common complication of acute MI?"	"Answer:
Arrhythmias"	ccrn::cardio acs
"Question:
What are life-threatening arrhythmias post-MI?"	"Answer:
VT, VF"	ccrn::cardio acs dysrhythmias
"Question:
How to treat VF?"	"Answer:
Defibrillate"	ccrn::cardio dysrhythmias
"Question:
How to treat stable sustained VT?"	"Answer:
Drug therapy"	ccrn::cardio dysrhythmias
"Question:
How to treat unstable sustained VT?"	"Answer:
Synchronized cardioversion"	ccrn::cardio dysrhythmias
"Question:
What other complications of acute MI?"	"Answer:
Bradycardia, heart blocks, SSS, atrial fibrillation, heart failure, cardiogenic shock, reinfarction, thromboembolism, pericarditis, ventricular aneurysm, VSD, papillary muscle rupture, wall rupture"	ccrn::cardio acs
"Question:
How does atrial fibrillation affect MI mortality?"	"Answer:
Increases risk 10-15%, even if returned to NSR"	ccrn::cardio acs
"Question:
What is goal of PCI with stent?"	"Answer:
Restoration of blood flow distal to coronary lesion"	ccrn::cardio interventions
"Question:
What is most common PCI procedure?"	"Answer:
Intracoronary stenting"	ccrn::cardio interventions
"Question:
What is in-hospital death rate for PCI?"	"Answer:
~1.8%"	ccrn::cardio interventions
"Question:
What is in-hospital MI rate for PCI?"	"Answer:
~0.4%"	ccrn::cardio acs interventions
"Question:
What are PCI complications?"	"Answer:
Coronary perforation, distal embolization, intramural hematoma, stent deployment failure, stent thrombosis, stroke/TIA, arrhythmias, renal failure, retroperitoneal bleed"	ccrn::cardio interventions
"Question:
When does stent thrombosis most likely occur?"	"Answer:
Acutely (< 24 hours) or subacutely (< 30 days)"	ccrn::cardio interventions
"Question:
What is hypertensive emergency/crisis?"	"Answer:
Elevated BP with end organ damage (brain, heart, kidney, retina)"	ccrn::cardio hypertension
"Question:
What is hypertensive urgency?"	"Answer:
Elevated BP without acute end organ damage"	ccrn::cardio hypertension
"Question:
What is greatest risk of hypertensive crisis?"	"Answer:
Stroke"	ccrn::cardio hypertension
"Question:
What is treatment of hypertensive crisis?"	"Answer:
Emergent BP lowering; nitroprusside or labetalol"	ccrn::cardio hypertension meds
"Question:
What is nitroprusside?"	"Answer:
Preload and afterload reducer"	ccrn::cardio meds
"Question:
What is cyanide toxicity from nitroprusside?"	"Answer:
Mental status change, tachycardia, seizure, need for increased dose, unexplained metabolic acidosis"	ccrn::cardio meds
"Question:
When is cyanide toxicity more likely?"	"Answer:
Renal impairment or drug use > 24 hours"	ccrn::cardio
"Question:
What is labetalol dosing preference?"	"Answer:
Intermittent IV doses (max 300 mg total)"	ccrn::cardio meds
"Question:
How long does labetalol effect persist?"	"Answer:
4-6 hours after IV dose"	ccrn::cardio meds
"Question:
What are the 6 Ps of PAD?"	"Answer:
Pain, pallor, pulse absent/diminished, paresthesia, paralysis, poikilothermia"	ccrn::cardio vascular
"Question:
What is poikilothermia?"	"Answer:
Loss of hair on toes/legs, glossy/thin/cool/dry skin"	ccrn::cardio acs
"Question:
What is ankle-brachial index (ABI)?"	"Answer:
Test to assess lower extremity perfusion"	ccrn::cardio vascular
"Question:
What is normal ABI?"	"Answer:
> 0.90"	ccrn::cardio vascular
"Question:
How is ABI calculated?"	"Answer:
Ankle pressure ÷ brachial pressure (same side)"	ccrn::cardio vascular
"Question:
What are PAD treatments?"	"Answer:
Embolectomy, bypass graft, angioplasty"	ccrn::cardio vascular
"Question:
What bed position for PAD?"	"Answer:
Reverse Trendelenburg"	ccrn::cardio vascular
"Question:
Should you elevate affected extremity in PAD?"	"Answer:
NO - decreases perfusion"	ccrn::cardio acs vascular
"Question:
What medications for PAD?"	"Answer:
Thrombolytics (tPA), anticoagulants (heparin), antiplatelet agents (ASA, clopidogrel), vasodilators"	ccrn::cardio vascular meds
"Question:
What are signs/symptoms of acute carotid artery disease?"	"Answer:
TIA, monocular visual disturbances, aphasia, stroke"	ccrn::cardio vascular
"Question:
What is gold standard diagnostic test for carotid disease?"	"Answer:
Angiography (risk of stroke during exam)"	ccrn::cardio vascular
"Question:
What are carotid artery disease treatments?"	"Answer:
Carotid endarterectomy (CEA), carotid stenting, aspirin, statin therapy"	ccrn::cardio vascular meds
"Question:
What to monitor post-carotid procedure?"	"Answer:
Frequent neurological/motor checks, BP/HR (labile BP/bradyarrhythmia possible), bleeding"	ccrn::cardio vascular
"Question:
What is hypoperfusion syndrome post-carotid procedure?"	"Answer:
Headache ipsilateral to revascularized artery, focal motor seizures, intracerebral hemorrhage"	ccrn::cardio vascular
"Question:
What is Wolff-Parkinson-White syndrome?"	"Answer:
Genetic conduction abnormality with abnormal pathway bypassing AV node"	ccrn::cardio
"Question:
What age group has WPW?"	"Answer:
< 30 years old"	ccrn::cardio dysrhythmias
"Question:
What does ECG show in WPW sinus rhythm?"	"Answer:
Short PR interval, delta wave"	ccrn::cardio ecg dysrhythmias
